name,Pmix 18,Pmix 37,Pmix 73,Pmix 146,Pmix 293,Pmix 586,Pmix 1172,Pmix 2344,Pmix 4688,Pmix 9375,Pmix 18750,Pmix 37500,Pmix 75000,Pmix 150000,TPmix 18,TPmix 37,TPmix 73,TPmix 146,TPmix 293,TPmix 586,TPmix 1172,TPmix 2344,TPmix 4688,TPmix 9375,TPmix 18750,TPmix 37500,TPmix 75000,TPmix 150000
flecainide,19.93815104,39.87630208,79.75260417,159.5052083,319.0104167,638.0208333,1276.041667,2552.083333,5104.166667,10208.33333,20416.66667,40833.33333,81666.66667,163333.3333,,,,,,,,,,,,,,
metoprolol,18.31054688,36.62109375,73.2421875,146.484375,292.96875,585.9375,1171.875,2343.75,4687.5,9375,18750,37500,75000,150000,,,,,,,,,,,,,,
phenazone,18.31054688,36.62109375,73.2421875,146.484375,292.96875,585.9375,1171.875,2343.75,4687.5,9375,18750,37500,75000,150000,,,,,,,,,,,,,,
sulfamethoxazole,18.31054688,36.62109375,73.2421875,146.484375,292.96875,585.9375,1171.875,2343.75,4687.5,9375,18750,37500,75000,150000,,,,,,,,,,,,,,
aniline,,,,,,,,,,,,,,,20.34505208,40.69010417,81.38020833,162.7604167,325.5208333,651.0416667,1302.083333,2604.166667,5208.333333,10416.66667,20833.33333,41666.66667,83333.33333,166666.6667
Sulfanilic acid,,,,,,,,,,,,,,,20.34505208,40.69010417,81.38020833,162.7604167,325.5208333,651.0416667,1302.083333,2604.166667,5208.333333,10416.66667,20833.33333,41666.66667,83333.33333,166666.6667
Formanilide,,,,,,,,,,,,,,,20.75195313,41.50390625,83.0078125,166.015625,332.03125,664.0625,1328.125,2656.25,5312.5,10625,21250,42500,85000,170000
N-Phenylpropanamide,,,,,,,,,,,,,,,20.34505208,40.69010417,81.38020833,162.7604167,325.5208333,651.0416667,1302.083333,2604.166667,5208.333333,10416.66667,20833.33333,41666.66667,83333.33333,166666.6667
N-ethyl-3-hydroxybenzamide,,,,,,,,,,,,,,,20.14160156,40.28320313,80.56640625,161.1328125,322.265625,644.53125,1289.0625,2578.125,5156.25,10312.5,20625,41250,82500,165000
Forbisen,,,,,,,,,,,,,,,20.34505208,40.69010417,81.38020833,162.7604167,325.5208333,651.0416667,1302.083333,2604.166667,5208.333333,10416.66667,20833.33333,41666.66667,83333.33333,166666.6667
4-Hydroxybenzenesulfonamide,,,,,,,,,,,,,,,20.75195313,41.50390625,83.0078125,166.015625,332.03125,664.0625,1328.125,2656.25,5312.5,10625,21250,42500,85000,170000
1-Amino-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol,,,,,,,,,,,,,,,20.34505208,40.69010417,81.38020833,162.7604167,325.5208333,651.0416667,1302.083333,2604.166667,5208.333333,10416.66667,20833.33333,41666.66667,83333.33333,166666.6667
p-Aminophenol,,,,,,,,,,,,,,,20.75195313,41.50390625,83.0078125,166.015625,332.03125,664.0625,1328.125,2656.25,5312.5,10625,21250,42500,85000,170000
3-Amino-5-methylisoxazole,,,,,,,,,,,,,,,20.5485026,41.09700521,82.19401042,164.3880208,328.7760417,657.5520833,1315.104167,2630.208333,5260.416667,10520.83333,21041.66667,42083.33333,84166.66667,168333.3333
